id;country_of_residence;address;zip;city
1;deposit SCSI;Robust;99900;Janickside
2;Boliviano Mvdol calculating;Avon Movies Future-proofed;96584;Port Lelamouth
3;Soap solution;Money Market Account bypassing;97996;New Charity
4;Gorgeous Metal Bacon card Frozen;mobile compressing Oklahoma;94332;Hahntown
5;wireless;deposit;99705;Ortizbury
6;deposit;infomediaries;33557;Royfort
7;Rustic;interface parse solid state;46588;New Selinachester
8;Table transmitting Producer;capacitor Virtual;48516;Port Hymanland
9;hack;parsing navigating Seamless;39666;South Zachariahville
10;Rustic Plastic Sausages Roads Avon;withdrawal content-based Point;58793;South Emmaleeview
