id;libelle_fr;libelle_en;description_fr;description_en
1;monitor;Car TCP;synergize;magenta
2;Connecticut Shoes Fantastic Concrete Car;Home Loan Account;Towels generating;Movies
3;Planner Savings Account;Implemented;North Dakota Gorgeous Frozen Chair;cross-platform
4;non-volatile;distributed North Korean Won Lebanese Pound;Avon payment Money Market Account;Functionality task-force
5;Buckinghamshire withdrawal;HTTP;Electronics;index Wooden
6;Mountains Optional Myanmar;Toys Group Shirt;Delaware Glens Intelligent Wooden Soap;technologies Handmade Metal Sausages
7;Shoes;Technician;Credit Card Account Health withdrawal;Usability Generic
8;Applications;repurpose Identity Nevada;yellow Implementation;web-enabled redundant Credit Card Account
9;Jewelery;back up;system Ameliorated Paradigm;Colombia portal
10;Savings Account;Indiana neural;bleeding-edge;sky blue Licensed
