id;message;affectation;matricule
1;Sierra Leone Small Metal Cheese white;CONFORMITY_UNIT;user-centric hacking Home Loan Account
2;Liaison;CONFORMITY_UNIT;24/365 Plastic Chips
3;parsing International Shoes;REPOSITORY_UNIT;secured line Analyst
4;invoice Checking Account;REPOSITORY_UNIT;Analyst
5;payment AI;REPOSITORY_UNIT;ADP invoice
6;Balanced Buckinghamshire Human;REPOSITORY_UNIT;overriding
7;Clothing;CONFORMITY_UNIT;Keys
8;Cambridgeshire Granite;REPOSITORY_UNIT;Personal Loan Account
9;Alaska neural;CONFORMITY_UNIT;Bangladesh
10;Bypass Car;REPOSITORY_UNIT;Cotton
