id;label_en;label_fr
1;Universal transparent productize;Cuban Peso Peso Convertible
2;Chilean Peso Unidades de fomento Small;Customer optical Extension
3;redundant Fundamental monitoring;bus
4;National HDD;Wisconsin National deliverables
5;Singapore system-worthy hacking;responsive challenge
6;Incredible Frozen Car Metal indexing;Music Exclusive Phased
7;withdrawal Handmade;e-markets
8;Plastic program Compatible;Isle of Man Rustic
9;e-business;Refined Steel Shirt Universal COM
10;JSON Planner;Kenyan Shilling
