id;libelle_fr;libelle_en;code;flag
1;Cambridgeshire Visionary;firewall Sudan District;override;Licensed Technician magnetic
2;Technician virtual Cheese;deposit;green hub;motivating Maine interface
3;aggregate deposit;coherent;Engineer Rustic;Designer e-tailers
4;artificial intelligence SMTP interfaces;Soft Markets;Saint Helena Pound;Facilitator
5;blue;Quality-focused;ubiquitous COM;Fully-configurable Checking Account
6;bandwidth-monitored;tan Movies;Integration;killer
7;Representative Money Market Account;Locks magenta;withdrawal holistic leverage;Forint Accounts data-warehouse
8;Overpass;composite;uniform navigate override;5th generation Toys moratorium
9;Central Metal program;Concrete interface;Kids frame;Frozen enterprise
10;Tennessee Pakistan Rupee Malaysia;azure;Home Loan Account;Soft heuristic strategy
