id;path_doc;type_doc;uploaded_at;updated_at;doc_status
1;Algerian Dinar;Rial Omani;2021-03-08;2021-03-09T00:55:25;PENDING
2;Practical;Trail;2021-03-08;2021-03-09T07:41:48;VALID
3;Producer;bus tertiary;2021-03-09;2021-03-09T08:59:52;INVALID
4;Maryland RAM;Handmade Rubber Keyboard payment;2021-03-08;2021-03-08T12:39:50;COMPLETED
5;Officer solution Auto Loan Account;Assimilated program architecture;2021-03-08;2021-03-09T09:50:07;INVALID
6;relationships;Buckinghamshire hack Tugrik;2021-03-09;2021-03-09T06:30:37;PENDING
7;AGP;generating bypass;2021-03-08;2021-03-08T21:11:54;VALID
8;Consultant connect AGP;Factors;2021-03-08;2021-03-08T13:53:53;VALID
9;Ergonomic multi-byte Checking Account;Faroe Islands;2021-03-08;2021-03-08T19:52:20;VALID
10;index;Dong Steel;2021-03-09;2021-03-08T22:42:17;INVALID
