id;visio_date;sending_mail_date;state;step;code_verification;amplitude_ref;request_state;request_status
1;2020-12-29;2020-12-29;false;e-business Small Concrete Pants revolutionize;Associate;61246;VISIO;AFFECTED
2;2020-12-28;2020-12-29;false;vortals;system engine;33721;TREATMENT;ACCEPTED
3;2020-12-28;2020-12-28;true;Credit Card Account indexing;Kids;6722;SIGN;ACCEPTED
4;2020-12-29;2020-12-29;false;copying;Cambridgeshire Incredible Keyboard;77659;DIGIGO;PENDING
5;2020-12-28;2020-12-29;false;Stravenue Industrial;deploy Customer UIC-Franc;92725;SIGN;ACCEPTED
6;2020-12-28;2020-12-29;true;International Awesome Frozen Keyboard;Avon RSS;64342;VISIO;AFFECTED
7;2020-12-29;2020-12-28;true;Jewelery;Intelligent Wooden Cheese;81144;DIGIGO;REFUSED
8;2020-12-29;2020-12-28;true;Functionality utilisation;deposit quantifying;6304;VISIO;ACCEPTED
9;2020-12-29;2020-12-29;true;JBOD Consultant;Unbranded;58875;SIGN;AFFECTED
10;2020-12-29;2020-12-29;false;CSS copying;Som;46468;TREATMENT;ACCEPTED
